Rank,Team,NETRTG,OFFRTTG,DFFRTG
1,BOSTON,14.2,118.8,104.6
2,MEMPHIS,9,118.2,109.2
3,PHOENIX,7.9,117.7,109.8
4,MINNESOTA,5.2,119.2,114
5,ATLANTA,4.6,118.2,113.6
6,DENVER,4.5,118.4,113.9
7,MIAMI,4.4,113,108.5
8,TORONTO,3.6,113.5,109.9
9,NEW ORLEANS,3.3,114.6,111.3
10,UTAH,2.8,115.9,113.1
11,PHILADELPHIA,2.8,114.3,111.5
12,DALLAS,2.3,114.7,112.3
13,MILWAUKEE,1.8,117.8,116
14,GOLDEN STATE,1.7,113.4,111.6
15,SAN ANTONIO,1,115.2,114.1
16,CHARLOTEE,0.9,114,113.1
17,LA CLIPPERS,-0.7,113.8,114.5
18,KNICKS,-1,111,112
19,CLEVELAND,-1.9,11.2,113.1
20,BROOKLYN,-2.4,114.5,116.8
21,CHICAGO,-2.5,113.2,115.7
22,DETROIT,-4.4,110,114.4
23,WASHINGTON,-4.5,112,116.5
24,LA LAKERS,-4.8,111.4,116.2
25,INDIANA,-5.9,114.4,120.3
26,SACRAMENTO,-6.7,110.5,117.2
27,OKC,-7.2,106.1,113.3
28,ORLANDO,-7.3,104.2,111.5
29,HOUSTON,-8.2,110,118.3
30,PORTLAND,-12.1,105.6,117.7
