Rk,Team,G,MP,FG,FGA,FGPct,ThreeP,ThreePA,ThreePPct,2P,2PA,2PPct,FT,FTA,FTPct,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Boston Celtics,79,19185,3014,6942,0.434,933,2752,0.339,2081,4190,0.497,1275,1621,0.787,818,2634,3452,1700,587,361,1095,1535,8236
2,Dallas Mavericks,79,19035,3089,6747,0.458,866,2542,0.341,2223,4205,0.529,1232,1619,0.761,757,2716,3473,1853,544,290,1037,1584,8276
3,Miami Heat,79,19135,2946,6622,0.445,1021,3008,0.339,1925,3614,0.533,1395,1794,0.778,757,2538,3295,1824,587,324,1188,1629,8308
4,Cleveland Cavaliers,79,19010,3107,6879,0.452,920,2624,0.351,2187,4255,0.514,1178,1524,0.773,829,2557,3386,1890,670,362,1071,1585,8312
5,Philadelphia 76ers,78,18845,3084,6750,0.457,883,2562,0.345,2201,4188,0.526,1283,1669,0.769,788,2672,3460,1827,515,355,1023,1521,8334
6,Golden State Warriors,79,19010,3000,6836,0.439,967,2845,0.34,2033,3991,0.509,1368,1803,0.759,762,2610,3372,1818,626,310,1146,1420,8335
7,Toronto Raptors,78,18895,3034,6583,0.461,956,2716,0.352,2078,3867,0.537,1316,1669,0.788,814,2628,3442,1963,525,401,1237,1487,8340
8,Phoenix Suns,78,18770,3069,6918,0.444,907,2678,0.339,2162,4240,0.51,1312,1724,0.761,830,2631,3461,1787,583,304,1147,1486,8357
9,Utah Jazz,78,18745,3161,6952,0.455,950,2716,0.35,2211,4236,0.522,1142,1508,0.757,772,2475,3247,1816,596,333,930,1561,8414
10,New York Knicks,79,19060,3042,6796,0.448,1003,2921,0.343,2039,3875,0.526,1358,1780,0.763,742,2707,3449,1906,550,366,989,1609,8445
11,Memphis Grizzlies,78,18795,3126,6903,0.453,939,2682,0.35,2187,4221,0.518,1327,1721,0.771,777,2561,3338,1940,558,481,1168,1540,8518
12,New Orleans Pelicans,78,18795,3124,6693,0.467,1005,2784,0.361,2119,3909,0.542,1318,1682,0.784,733,2542,3275,1909,580,373,1091,1595,8571
13,Los Angeles Clippers,79,19060,3226,7140,0.452,925,2670,0.346,2301,4470,0.515,1216,1561,0.779,947,2782,3729,1905,602,333,1078,1457,8593
14,Oklahoma City Thunder,78,18845,3219,7075,0.455,1065,3037,0.351,2154,4038,0.533,1178,1528,0.771,861,2908,3769,2032,666,462,1036,1403,8681
15,Denver Nuggets,79,19060,3237,6896,0.469,932,2709,0.344,2305,4187,0.551,1277,1693,0.754,767,2576,3343,1995,631,380,1014,1573,8683
16,Chicago Bulls,78,18770,3210,6818,0.471,901,2477,0.364,2309,4341,0.532,1366,1720,0.794,731,2651,3382,1924,551,383,1020,1408,8687
17,Washington Wizards,78,18870,3211,6927,0.464,877,2454,0.357,2334,4473,0.522,1415,1750,0.809,806,2653,3459,1827,562,328,926,1566,8714
18,Milwaukee Bucks,78,18795,3220,7062,0.456,1127,3159,0.357,2093,3903,0.536,1167,1562,0.747,772,2668,3440,2004,579,341,1013,1528,8734
19,Brooklyn Nets,78,18795,3181,7027,0.453,975,2820,0.346,2206,4207,0.524,1421,1784,0.797,877,2588,3465,1863,618,385,1050,1534,8758
20,Atlanta Hawks,78,18745,3268,6946,0.47,1004,2746,0.366,2264,4200,0.539,1227,1544,0.795,802,2623,3425,1995,553,353,999,1601,8767
21,San Antonio Spurs,78,18845,3321,7115,0.467,937,2602,0.36,2384,4513,0.528,1236,1612,0.767,887,2756,3643,1866,576,395,1081,1467,8815
22,Orlando Magic,79,19060,3216,7028,0.458,1035,2859,0.362,2181,4169,0.523,1382,1786,0.774,823,2894,3717,1960,634,411,1045,1460,8849
23,Detroit Pistons,79,19060,3192,6782,0.471,935,2573,0.363,2257,4209,0.536,1530,1976,0.774,819,2840,3659,1979,578,419,1168,1558,8849
24,Minnesota Timberwolves,79,19060,3155,6890,0.458,1038,2983,0.348,2117,3907,0.542,1566,2000,0.783,871,2746,3617,2058,575,385,1294,1646,8914
25,Los Angeles Lakers,78,18995,3301,7037,0.469,981,2788,0.352,2320,4249,0.546,1368,1837,0.745,862,2773,3635,2023,649,319,1095,1539,8951
26,Charlotte Hornets,78,18920,3272,7033,0.465,1089,3033,0.359,2183,4000,0.546,1318,1727,0.763,892,2801,3693,2063,582,368,1175,1540,8951
27,Portland Trail Blazers,78,18770,3211,6710,0.479,1078,2899,0.372,2133,3811,0.56,1475,1892,0.78,740,2721,3461,2090,628,385,1089,1530,8975
28,Indiana Pacers,79,19160,3336,6954,0.48,942,2549,0.37,2394,4405,0.543,1413,1775,0.796,806,2601,3407,1957,637,389,1035,1521,9027
29,Sacramento Kings,79,19085,3432,7152,0.48,1018,2749,0.37,2414,4403,0.548,1262,1626,0.776,824,2791,3615,1995,639,383,1065,1598,9144
30,Houston Rockets,79,19035,3434,7105,0.483,1005,2862,0.351,2429,4243,0.572,1454,1869,0.778,877,2726,3603,2032,753,457,1115,1752,9327
,League Average,78,18940,3181,6911,0.46,974,2760,0.353,2207,4151,0.532,1326,1712,0.774,811,2679,3490,1927,598,371,1081,1541,8662
